record_id,date,employee_id,department,location,manager_id,shift_type,contract_type,employee_tenure_months,base_hourly_rate_usd,scheduled_hours,overtime_hours,ot_rate_multiplier,overtime_cost_usd,day_of_week,week_of_year,month,quarter,year,is_weekend,is_holiday_week,is_peak_season,team_size,absence_rate,workload_index,prior_week_overtime_hours
REC00001,2022-01-01,EMP1221,Logistics,Plant C,MGR012,Day,Full-time,144,32.23,37,3.92,2,252.68,5,52,1,1,2022,1,1,1,36,0.147,8.2,3.92
REC00002,2022-01-02,EMP1876,Security,Plant B,MGR020,Split,Full-time,179,21.26,35,18.46,2,784.92,6,52,1,1,2022,1,1,1,15,0.033,6.8,18.46
REC00003,2022-01-03,EMP2415,IT Support,Plant C,MGR012,Night,Full-time,195,39.86,36,5.36,2,427.3,0,1,1,1,2022,0,1,1,17,0.259,3.5,5.36
REC00004,2022-01-04,EMP1678,Customer Service,Plant B,MGR003,Rotating,Full-time,92,39.45,36,0.09,2,7.1,1,1,1,1,2022,0,1,1,15,0.214,6.1,0.09
REC00005,2022-01-05,EMP2197,Manufacturing,Distribution Center,MGR002,Split,Contract,221,22.66,38,2.89,2,130.97,2,1,1,1,2022,0,1,1,25,0.154,5.5,2.89
REC00006,2022-01-06,EMP1662,Manufacturing,Plant B,MGR015,Day,Full-time,54,21.37,38,6.64,2,283.79,3,1,1,1,2022,0,1,1,55,0.259,8.7,6.64
REC00007,2022-01-07,EMP1684,Manufacturing,Plant B,MGR011,Rotating,Full-time,148,21.38,37,1.4,2,59.86,4,1,1,1,2022,0,1,1,43,0.015,6.5,1.4
REC00008,2022-01-08,EMP2105,Warehouse,Distribution Center,MGR010,Day,Full-time,228,26.14,36,0.92,2,48.1,5,1,1,1,2022,1,1,1,23,0.187,7,3.92
REC00009,2022-01-09,EMP1336,Customer Service,Plant A,MGR018,Rotating,Full-time,33,39.8,38,0.5,2,39.8,6,1,1,1,2022,1,1,1,18,0.08,7.8,18.46
REC00010,2022-01-10,EMP1225,IT Support,Plant C,MGR002,Day,Full-time,214,34.48,39,3.14,1.5,162.4,0,2,1,1,2022,0,0,1,13,0.147,4.8,5.36
REC00011,2022-01-11,EMP1871,Manufacturing,HQ,MGR007,Split,Part-time,136,29.95,22,2.16,1.5,97.04,1,2,1,1,2022,0,0,1,23,0.045,4,0.09
REC00012,2022-01-12,EMP1035,Security,Distribution Center,MGR007,Day,Part-time,239,19.06,24,1.8,1.5,51.46,2,2,1,1,2022,0,0,1,17,0.102,6.3,2.89
REC00013,2022-01-13,EMP2894,Warehouse,Plant A,MGR007,Day,Full-time,152,20.64,35,0.28,1.5,8.67,3,2,1,1,2022,0,0,1,18,0.141,5.4,6.64
REC00014,2022-01-14,EMP1188,Manufacturing,Plant B,MGR014,Rotating,Full-time,53,32.97,37,9,1.5,445.1,4,2,1,1,2022,0,0,1,33,0.081,4.7,1.4
REC00015,2022-01-15,EMP2248,Manufacturing,Plant A,MGR002,Day,Contract,64,34.28,36,12.23,1.75,733.68,5,2,1,1,2022,1,0,1,56,0.045,4.2,0.92
REC00016,2022-01-16,EMP1643,Manufacturing,Distribution Center,MGR002,Night,Part-time,58,24.61,24,19.31,2,950.44,6,2,1,1,2022,1,0,1,22,0.299,1.6,0.5
REC00017,2022-01-17,EMP2910,Logistics,Plant B,MGR015,Day,Full-time,118,36.48,39,5.17,1.5,282.9,0,3,1,1,2022,0,0,1,34,0.266,7,3.14
